Td		ID		Tj		Df		Dd		Db
106		2226		103		0		3		3

106		2225		103		0		3		3

106		2220		102		0		4		4

107		2213		101		0		6		6

107		2224		103		0		4		4

107		2230		103		0		4		4

107		2227		103		0		4		4

107		2221		102		0		5		5

108		2218		102		0		6		6

108		2229		103		0		5		5

109		2222		102		0		7		7

109		54		25		0		84		84

111		2235		109		0		2		2

112		2241		111		0		1		1

113		2233		109		0		4		4

113		2231		109		0		4		4

113		2243		111		0		2		2

113		2242		111		0		2		2

114		2232		109		0		5		5

114		2234		109		0		5		5

114		2240		111		0		3		3

114		2237		109		0		5		5

115		2236		109		0		6		6

115		2249		114		0		1		1

116		2258		115		0		1		1

117		2244		111		0		6		6

117		2257		115		0		2		2

117		2238		111		0		6		6

117		2250		114		0		3		3

118		2254		115		0		3		3

119		2246		114		0		5		5

119		2251		114		0		5		5

119		2255		115		0		4		4

119		68		28		0		91		91

120		2247		114		0		6		6

120		2245		114		0		6		6

120		2253		115		0		5		5

120		2265		119		0		1		1

121		2239		111		0		10		10

121		2260		119		0		2		2

121		2256		115		0		6		6

121		2252		115		2		4		6

122		2263		119		0		3		3

123		2248		114		0		9		9

123		2272		122		0		1		1

124		2269		122		0		2		2

124		2261		119		0		5		5

124		2270		122		0		2		2

124		2259		119		0		5		5

125		2273		123		0		2		2

125		2277		123		0		2		2

126		2262		119		0		7		7

126		2267		122		0		4		4

126		2278		123		0		3		3

127		2264		119		0		8		8

127		2275		123		0		4		4

127		2279		123		0		4		4

127		2268		122		0		5		5

127		2266		122		0		5		5

127		2285		125		0		2		2

127		2271		122		0		5		5

127		2286		125		0		2		2

127		2282		125		0		2		2

128		2280		125		0		3		3

128		2284		125		0		3		3

128		2283		125		0		3		3

128		2281		125		0		3		3

129		2293		128		0		1		1

130		2274		123		0		7		7

130		2276		123		0		7		7

130		2288		128		0		2		2

130		2291		128		0		2		2

131		2287		128		0		3		3

131		117		48		1		82		83

132		2289		128		0		4		4

134		2290		128		0		6		6

135		2298		133		0		2		2

136		2292		128		0		8		8

136		2296		133		0		3		3

136		2299		133		0		3		3

136		2300		133		0		3		3

136		2294		133		0		3		3

137		2295		133		0		4		4

138		2303		134		0		4		4

138		2308		135		0		3		3

138		81		35		1		102		103

139		2304		134		0		5		5

139		2320		136		0		3		3

139		2309		135		0		4		4

139		2301		134		0		5		5

140		2317		136		0		4		4

140		2302		134		0		6		6

140		2315		136		0		4		4

140		2326		138		0		2		2

141		2316		136		0		5		5

141		2333		139		0		2		2

141		2321		136		1		4		5

142		2297		133		0		9		9

142		2334		139		0		3		3

142		2331		139		0		3		3

142		2325		138		0		4		4

142		2306		134		0		8		8

142		2307		134		0		8		8

143		2312		135		0		8		8

143		2310		135		0		8		8

143		2318		136		0		7		7

144		2327		138		0		6		6

144		2332		139		0		5		5

145		2323		138		1		6		7

145		2328		138		1		6		7

145		2311		135		0		10		10

145		2305		134		0		11		11

145		2314		135		0		10		10

146		2335		139		0		7		7

146		2342		144		0		2		2

146		2341		144		0		2		2

147		2313		135		0		12		12

147		2337		144		0		3		3

147		2347		146		0		1		1

148		2324		138		1		9		10

148		2319		136		0		12		12

148		2346		146		0		2		2

148		2338		144		0		4		4

148		2339		144		0		4		4

149		2322		138		1		10		11

149		2329		139		1		9		10

149		2348		146		0		3		3

149		2344		146		0		3		3

150		2330		139		1		10		11

150		2336		144		2		4		6

150		2343		146		0		4		4

151		2349		146		0		5		5

153		2340		144		1		8		9

153		2345		146		1		6		7

154		2355		152		0		2		2

154		2356		152		0		2		2

155		2350		152		0		3		3

156		2353		152		0		4		4

156		2354		152		0		4		4

157		2352		152		0		5		5

157		2351		152		0		5		5

158		2360		156		0		2		2

158		2361		156		0		2		2

158		2358		156		0		2		2

158		89		39		1		118		119

160		2362		156		0		4		4

160		2363		156		0		4		4

160		2369		159		0		1		1

160		2370		159		0		1		1

161		2366		159		0		2		2

162		2357		156		0		6		6

162		2373		161		0		1		1

163		2359		156		0		7		7

163		2372		161		0		2		2

163		2365		159		0		4		4

163		2367		159		0		4		4

164		2377		161		0		3		3

164		2376		161		0		3		3

165		2368		159		0		6		6

165		2364		159		0		6		6

165		2375		161		1		3		4

165		2371		161		1		3		4

166		2374		161		0		5		5

Battle result: Win

 For Earth Army :
Total number of ES 44
Total number of ET 135
Total number of EG 179
Total number of HU 20
percentage of destructed ES relative to their total 27.2727
percentage of destructed ET relative to their total 0
percentage of destructed EG relative to their total 0
percentage of total destructed Earth units relative to their total 3.35196
Average of Df for Earth army units 0.416667
Average of Dd for Earth army units 63.4167
Average of Db for Earth army units 63.8333
Df/Db percentage for Earth army 0.00652742
Dd/Db percentage for Earth army 0.993473
For Alien Army :
Total number of AS 98
Total number of AM 156
Total number of AD 124
percentage of destructed AS relative to their total 100
percentage of destructed AM relative to their total 100
percentage of destructed AD relative to their total 100
percentage of total destructed Alien units relative to their total 100
Average of Df for Alien army units 0.142857
Average of Dd for Alien army units 4.45238
Average of Db for Alien army units 4.59524
Df/Db percentage for Alien army 0.0310881
Dd/Db percentage for Alien army 0.968912
