Td		ID		Tj		Df		Dd		Db
104		2144		79		1		24		25

104		156		82		1		21		22

105		2147		81		0		24		24

105		2198		99		0		6		6

106		2068		44		0		62		62

107		2138		78		0		29		29

107		2075		46		0		61		61

107		2136		78		0		29		29

107		151		81		1		25		26

108		163		86		1		21		22

108		176		91		1		16		17

108		179		91		1		16		17

108		194		93		1		14		15

110		2148		81		1		28		29

110		2099		64		0		46		46

110		2135		78		0		32		32

110		190		93		1		16		17

110		199		99		1		10		11

110		180		91		0		19		19

111		2143		79		1		31		32

111		2058		39		4		68		72

111		2102		64		0		47		47

111		2205		107		0		4		4

111		178		91		1		19		20

111		203		99		0		12		12

111		188		92		0		19		19

112		2203		107		0		5		5

113		2107		66		9		38		47

113		2150		81		1		31		32

113		185		92		1		20		21

113		187		92		1		20		21

114		202		99		1		14		15

116		2092		53		0		63		63

116		2097		53		0		63		63

117		2103		64		0		53		53

117		2098		64		9		44		53

118		2167		86		1		31		32

118		205		107		0		11		11

120		2184		92		2		26		28

120		2073		46		8		66		74

120		2216		115		0		5		5

120		2194		93		2		25		27

120		215		115		0		5		5

121		2154		82		1		38		39

122		2168		87		1		34		35

122		2177		91		1		30		31

122		2156		82		15		25		40

122		134		78		0		44		44

123		2178		91		2		30		32

123		2180		91		2		30		32

124		2114		74		0		50		50

124		2082		49		0		75		75

124		219		118		0		6		6

125		2108		66		0		59		59

125		2217		118		0		7		7

125		218		118		0		7		7

126		2212		115		0		11		11

126		2230		119		1		6		7

126		2219		118		0		8		8

126		2220		118		0		8		8

126		223		118		0		8		8

127		2185		92		2		33		35

127		214		115		0		12		12

127		220		118		0		9		9

128		2224		119		1		8		9

128		230		119		0		9		9

128		222		118		0		10		10

129		2199		99		3		27		30

129		2160		82		0		47		47

129		2225		119		2		8		10

129		217		115		0		14		14

129		142		79		0		50		50

130		211		115		0		15		15

131		2204		107		1		23		24

131		2206		107		2		22		24

131		2111		66		0		65		65

131		2234		124		0		7		7

131		2232		124		0		7		7

131		207		107		0		24		24

132		2196		99		2		31		33

132		232		124		0		8		8

132		235		124		0		8		8

133		2214		115		1		17		18

133		234		124		0		9		9

134		2191		93		0		41		41

134		2248		130		0		4		4

135		2195		93		0		42		42

135		237		124		0		11		11

136		2256		131		0		5		5

136		255		131		0		5		5

137		2227		119		2		16		18

137		2218		118		1		18		19

138		2129		76		0		62		62

138		2116		74		0		64		64

138		2190		93		0		45		45

139		2265		133		0		6		6

139		2262		133		0		6		6

140		238		124		0		16		16

141		2118		74		0		67		67

141		258		131		0		10		10

142		264		133		0		9		9

143		2231		124		1		18		19

143		2113		74		0		69		69

143		248		130		0		13		13

143		252		130		0		13		13

144		2237		124		1		19		20

144		2202		99		0		45		45

144		257		131		0		13		13

145		2238		129		1		15		16

146		2247		130		1		15		16

146		2255		131		1		14		15

146		2275		142		0		4		4

146		244		129		0		17		17

146		246		130		0		16		16

146		251		130		0		16		16

147		2274		142		0		5		5

147		2279		142		0		5		5

148		2277		142		0		6		6

149		2164		86		0		63		63

150		2284		146		0		4		4

150		245		129		0		21		21

151		2286		146		0		5		5

152		2173		87		0		65		65

152		2291		148		0		4		4

152		261		133		1		18		19

153		2126		76		11		66		77

153		280		142		0		11		11

154		2267		140		1		13		14

154		2268		140		1		13		14

155		270		140		1		14		15

155		288		148		0		7		7

156		2142		79		0		77		77

156		2307		152		0		4		4

156		271		140		0		16		16

156		300		151		0		5		5

157		2176		91		0		66		66

157		267		140		1		16		17

157		307		152		0		5		5

158		2320		154		0		4		4

158		311		153		0		5		5

159		2208		107		0		52		52

159		2303		152		0		7		7

159		2152		81		0		78		78

159		2302		152		0		7		7

160		2315		154		0		6		6

160		278		142		1		17		18

161		2308		153		0		8		8

161		2326		155		0		6		6

162		2333		156		0		6		6

162		286		146		1		15		16

163		2183		92		12		59		71

163		2122		75		0		88		88

164		2335		156		0		8		8

164		2337		160		0		4		4

164		2120		75		0		89		89

164		283		146		1		17		18

165		2155		82		15		68		83

165		2201		99		0		66		66

165		295		151		0		14		14

165		294		148		0		17		17

166		290		148		1		17		18

166		340		160		0		6		6

167		2197		99		0		68		68

167		2121		75		0		92		92

167		272		140		2		25		27

167		345		161		0		6		6

167		304		152		0		15		15

168		2128		76		0		92		92

168		2131		76		0		92		92

168		334		156		0		12		12

169		2171		87		14		68		82

169		2163		86		13		70		83

169		310		153		1		15		16

169		299		151		0		18		18

169		341		160		0		9		9

169		342		160		0		9		9

170		2130		76		0		94		94

170		303		152		1		17		18

170		321		154		0		16		16

170		349		161		0		9		9

171		2172		87		0		84		84

171		2356		166		0		5		5

171		322		154		1		16		17

171		325		155		0		16		16

172		2350		166		0		6		6

172		2355		166		0		6		6

172		305		152		1		19		20

172		262		133		0		39		39

173		263		133		0		40		40

174		2139		78		0		96		96

175		2292		148		0		27		27

175		2188		92		0		83		83
