Td		ID		Tj		Df		Dd		Db
157		2296		145		0		12		12

157		70		40		1		116		117

158		79		44		3		111		114

159		2300		145		0		14		14

159		2288		144		0		15		15

159		2301		147		1		11		12

159		118		59		3		97		100

159		71		43		2		114		116

160		2294		145		0		15		15

160		2307		147		0		13		13

161		2173		79		3		79		82

161		2290		144		0		17		17

162		2304		147		0		15		15

163		2289		144		0		19		19

165		2107		58		2		105		107

165		2110		58		2		105		107

165		2237		98		5		62		67

165		2321		157		0		8		8

166		2168		79		0		87		87

166		2317		157		0		9		9

166		104		55		3		108		111

167		2186		83		5		79		84

167		2313		155		2		10		12

167		2199		88		0		79		79

167		2322		162		0		5		5

168		2213		92		0		76		76

169		2178		80		4		85		89

169		2111		58		0		111		111

169		2128		63		7		99		106

170		2219		94		0		76		76

171		2236		98		5		68		73

171		217		92		5		74		79

172		2118		59		0		113		113

173		94		47		4		122		126

174		2341		170		0		4		4

174		2133		65		7		102		109

174		2344		171		0		3		3

175		2343		171		0		4		4

175		2141		66		0		109		109

175		2109		58		0		117		117

175		2103		55		0		120		120

175		2135		65		7		103		110

175		90		45		3		127		130

175		121		60		4		111		115

176		2165		77		3		96		99

176		2162		77		0		99		99

176		2220		94		0		82		82

176		2195		86		0		90		90

176		2305		147		0		29		29

177		2276		129		0		48		48

177		2194		86		0		91		91

177		2204		89		0		88		88

178		2275		129		0		49		49

178		2150		68		0		110		110

178		2130		63		7		108		115

178		190		86		5		87		92

179		2171		79		0		100		100

179		2207		89		0		90		90

181		47		19		1		161		162

182		309		155		1		26		27

184		2241		107		0		77		77

184		158		76		3		105		108

185		150		68		4		113		117

186		2222		94		0		92		92

187		2355		181		0		6		6

187		2351		181		0		6		6

188		2248		109		0		79		79

188		2218		94		16		78		94

189		2174		79		3		107		110

190		2160		76		3		111		114

191		2223		94		0		97		97

192		2368		184		0		8		8

